4A,Арбуз,800,374460
71A,Слишком длинные слова,800,274785
231A,Команда,800,229964
1A,Театральная площадь,1000,201068
158A,Следующий раунд,800,183985
50A,Укладка доминошками,800,178932
282A,Bit++,800,177204
263A,Красивая матрица,800,174889
112A,Петя и строки,800,165309
339A,Математика спешит на помощь,800,155706
281A,Капитализация слова,800,152936
118A,Упражнение на строки,1000,149086
236A,Девушка или Юноша,800,148442
266A,Камни на столе,800,140799
791A,Мишка и старший брат,800,135933
546A,Солдат и бананы,800,128647
617A,Слоник,800,127390
69A,Юный физик,1000,124404
59A,Слово,800,123953
96A,Футбол,900,120330
977A,Неправильное вычитание,800,119323
110A,Почти счастливое число,800,109583
734A,Антон и Даник,800,107150
116A,Трамвай,800,105962
41A,Перевод,800,104390
266B,Очередь в школе,800,103186
677A,Ваня и забор,800,100246
58A,Чат,1000,100193
271A,Красивый год,800,99853
122A,Счастливое деление,1000,95444
160A,Близнецы,900,91655
1030A,В поисках простой задачи,800,91290
467A,Юра и заселение,800,89859
136A,Подарки,800,87712
344A,Магниты,800,87553
486A,Подсчёт функции,800,84710
200B,Напитки,800,84147
318A,Чет и нечет,900,83988
133A,HQ9+,900,82838
61A,Быстрый математик,800,82499
705A,Халк,800,79935
228A,Не смешите мои подковы,800,79175
405A,Переключение гравитации,900,75012
469A,I Wanna Be the Guy,800,73272
479A,Выражение,1000,72311
144A,Приезд генерала,800,71539
1328A,Задача о делимости,800,71268
148A,Средство от бессонницы,800,70482
580A,Кефа и первые шаги,900,70197
158B,Такси,1100,69815
208A,Дабстеп,900,69124
520A,Панграмма,800,68913
131A,cAPS lOCK,1000,68098
443A,Антон и буквы,800,67438
25A,IQ тест,1300,65866
268A,Матчи,800,65865
996A,Выиграть в лотерею,800,65475
785A,Антон и многогранники,800,64620
337A,Пазлы,900,63775
141A,Веселая шутка,800,63194
1335A,Конфеты и две сестры,800,62637
4C,Система регистрации,1300,60130
510A,Лиса и змейка,800,60103
230A,Драконы,1000,59626
492B,Ваня и фонари,1200,59418
155A,I_love_\%username\%,800,56827
427A,Полицейские-рекруты,800,56824
230B,Т-простые числа,1300,56174
339B,Ксюша и кольцевая дорога,1000,55876
750A,Новый год и спешка,800,55854
581A,Хипстер Вася,800,54683
1352A,Сумма круглых чисел,800,54659
